Name,ClassA,ClassB,ClassC,ClassD,ColorA,ColorB,PositionX,PositionY
00000000.png,1,1,1,1,0.6431372549019608,0.792156862745098,0.59375,0.53125
00000001.png,0,1,1,1,0.23529411764705882,0.8313725490196079,0.59375,0.671875
00000002.png,1,0,1,1,0.9058823529411765,0.2901960784313726,0.71875,0.5
00000003.png,0,0,1,1,0.3058823529411765,0.49411764705882355,0.546875,0.515625
00000004.png,1,1,0,1,0.8196078431372549,0.7215686274509804,0.203125,0.78125
00000005.png,0,1,0,1,0.1450980392156863,0.8509803921568627,0.328125,0.71875
00000006.png,1,0,0,1,0.7647058823529411,0.35294117647058826,0.34375,0.421875
00000007.png,0,0,0,1,0.19607843137254902,0.10588235294117647,0.03125,0.734375
00000008.png,1,1,1,0,0.596078431372549,0.807843137254902,0.75,0.109375
00000009.png,0,1,1,0,0.11372549019607843,0.5333333333333333,0.421875,0.203125
00000010.png,1,0,1,0,0.9450980392156862,0.08627450980392157,0.53125,0.296875
00000011.png,0,0,1,0,0.4196078431372549,0.25882352941176473,0.625,0.234375
00000012.png,1,1,0,0,0.5176470588235295,0.796078431372549,0.0625,0.203125
00000013.png,0,1,0,0,0.1568627450980392,0.5803921568627451,0.390625,0.3125
00000014.png,1,0,0,0,0.5568627450980392,0.023529411764705882,0.015625,0.3125
00000015.png,0,0,0,0,0.4235294117647059,0.4980392156862745,0.296875,0.390625
00000016.png,1,1,1,1,0.6274509803921569,0.6980392156862745,0.734375,0.578125
00000017.png,0,1,1,1,0.33725490196078434,0.6274509803921569,0.640625,0.59375
00000018.png,1,0,1,1,0.9176470588235294,0.23137254901960785,0.625,0.546875
00000019.png,0,0,1,1,0.2980392156862745,0.2784313725490196,0.5,0.65625
00000020.png,1,1,0,1,0.8941176470588236,0.9568627450980393,0.15625,0.78125
00000021.png,0,1,0,1,0.19607843137254902,0.6196078431372549,0.046875,0.625
00000022.png,1,0,0,1,0.5215686274509804,0.0196078431372549,0.140625,0.609375
00000023.png,0,0,0,1,0.24313725490196078,0.45098039215686275,0.015625,0.578125
00000024.png,1,1,1,0,0.596078431372549,0.615686274509804,0.40625,0.03125
00000025.png,0,1,1,0,0.3137254901960784,0.6431372549019608,0.453125,0.328125
00000026.png,1,0,1,0,0.7019607843137254,0.21176470588235294,0.65625,0.328125
00000027.png,0,0,1,0,0.11372549019607843,0.058823529411764705,0.625,0.296875
00000028.png,1,1,0,0,0.9725490196078431,0.6392156862745098,0.109375,0.0625
00000029.png,0,1,0,0,0.41568627450980394,0.6627450980392157,0.078125,0.203125
00000030.png,1,0,0,0,0.6235294117647059,0.050980392156862744,0.3125,0.25
00000031.png,0,0,0,0,0.023529411764705882,0.3215686274509804,0.28125,0.0
00000032.png,1,1,1,1,0.7137254901960784,0.8862745098039215,0.421875,0.453125
00000033.png,0,1,1,1,0.06666666666666667,0.984313725490196,0.625,0.46875
00000034.png,1,0,1,1,0.7686274509803922,0.4,0.53125,0.5625
00000035.png,0,0,1,1,0.4823529411764706,0.21568627450980393,0.671875,0.6875
00000036.png,1,1,0,1,0.8980392156862745,0.9137254901960784,0.03125,0.484375
00000037.png,0,1,0,1,0.4,0.792156862745098,0.328125,0.625
00000038.png,1,0,0,1,0.9568627450980393,0.24313725490196078,0.0625,0.78125
00000039.png,0,0,0,1,0.2823529411764706,0.35294117647058826,0.046875,0.484375
00000040.png,1,1,1,0,0.6549019607843137,0.8392156862745098,0.578125,0.140625
00000041.png,0,1,1,0,0.49019607843137253,0.9215686274509803,0.71875,0.03125
00000042.png,1,0,1,0,0.615686274509804,0.16470588235294117,0.71875,0.21875
00000043.png,0,0,1,0,0.3803921568627451,0.3843137254901961,0.53125,0.125
00000044.png,1,1,0,0,0.7607843137254902,0.6313725490196078,0.359375,0.3125
00000045.png,0,1,0,0,0.43529411764705883,0.611764705882353,0.03125,0.296875
00000046.png,1,0,0,0,0.8823529411764706,0.37254901960784315,0.015625,0.15625
00000047.png,0,0,0,0,0.3568627450980392,0.18823529411764706,0.390625,0.09375
00000048.png,1,1,1,1,0.9019607843137255,0.6313725490196078,0.59375,0.46875
00000049.png,0,1,1,1,0.01568627450980392,0.9333333333333333,0.484375,0.65625
00000050.png,1,0,1,1,0.7803921568627451,0.48627450980392156,0.765625,0.734375
00000051.png,0,0,1,1,0.07450980392156863,0.08627450980392157,0.578125,0.578125
00000052.png,1,1,0,1,0.5137254901960784,0.9803921568627451,0.296875,0.5625
00000053.png,0,1,0,1,0.3803921568627451,0.9254901960784314,0.34375,0.78125
00000054.png,1,0,0,1,0.6627450980392157,0.3843137254901961,0.0625,0.703125
00000055.png,0,0,0,1,0.1568627450980392,0.24705882352941178,0.265625,0.546875
00000056.png,1,1,1,0,0.5490196078431373,0.6274509803921569,0.671875,0.15625
00000057.png,0,1,1,0,0.12941176470588237,0.6470588235294118,0.484375,0.359375
00000058.png,1,0,1,0,0.9294117647058824,0.12549019607843137,0.53125,0.015625
00000059.png,0,0,1,0,0.027450980392156862,0.12549019607843137,0.78125,0.09375
00000060.png,1,1,0,0,0.5294117647058824,0.5294117647058824,0.046875,0.046875
00000061.png,0,1,0,0,0.13725490196078433,0.7333333333333333,0.328125,0.328125
00000062.png,1,0,0,0,0.5294117647058824,0.2235294117647059,0.1875,0.3125
00000063.png,0,0,0,0,0.047058823529411764,0.11764705882352941,0.09375,0.390625
00000064.png,1,1,1,1,0.592156862745098,0.9921568627450981,0.4375,0.78125
